date | value
2011 -01-03 | 1
2011-01-0 3 | 1
2011-01-03|.
2011-01-03|+
2011-01-05|-
2001-42-42
2012-01-11 | 2147483648
2012-01-11 | 1 1212
2012-01-11 | 1a
2012-01-11 | 1 a
2012-01-11 | a 1
2012-01-11 | -1
2023-02-29 | 1
2023-01-32 | 1
2023-10-32 | 1
2023-09-31 | 1
2009-01-01 | 0
2009-01-01   0











2009-01-03 | 0
2009-01-05 | 0
2009-01-07 | 0
2009-01-09 | 0
2011-01-03|-0
2011-01-03|+0
2011-01-03|.0
2011-01-03|0.
2012-01-11 | 1
2011-01-03    |     1     
    2011-01-03 |    1
2011-01-03 | 3
2011-01-03| 2
2011-01-03 |1
2011-01-03|1
2011-01-03|0
2011-01-03 | 1.2
2011-01-09 | 1
2022-03-29 | 1
2024-03-29 | 1
2023-04-29 | 1
2034-02-29 | 4
2024-02-28 | 1
2024-02-29 | 60
2024-03-29 | 1
2024-03-29 | 1
2024-03-30 | allo
